company_id,canonical_name,legal_name,aliases_json,domain,website,careers_url,sectors_json,nepal_relationship,country,locality,address,official_email,official_phone,profile,active,confidence,first_seen_at,last_seen_at,primary_source_id,primary_source_url
a477e203-c042-53f7-b28d-3dda744d9a1b,1840 & Company,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-08-29 03:33:39.54056+00,2026-09-21 08:03:01.188973+00,himalayas,https://himalayas.app/companies/1840-company/jobs/product-support-specialist-csr
72848914-9bdc-5911-895f-b3f23e70ad16,1st for Awarding Ltd,,[],,,,"[""technology_employer""]",unknown,,,,,,,true,0.75,2026-09-21 08:04:31.217451+00,2026-09-21 08:04:31.217451+00,himalayas,https://himalayas.app/companies/1st-for-awarding-ltd/jobs/learning-solutions-designer
320b794b-6a76-5a72-8613-12c3cb27a31d,24x7 Direct,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-08-29 03:36:39.571706+00,2026-08-29 04:10:23.039082+00,himalayas,https://himalayas.app/companies/24x7-direct/jobs/azure-ai-net-developer
62a42ce6-fb0d-5eea-9463-202d61bd51dd,3M Consultancy,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-09-21 08:09:07.198174+00,2026-09-21 08:10:07.180944+00,himalayas,https://himalayas.app/companies/3m-consultancy/jobs/salesforce-architect
166ec3a5-8e00-55c0-97c8-418228fb71a9,"532 Group, LLC",,[],,,,"[""technology_employer""]",unknown,,,,,,,true,0.75,2026-09-21 08:01:37.171341+00,2026-09-21 08:01:37.171341+00,himalayas,https://himalayas.app/companies/532-group-llc/jobs/mainframe-developer-cobol-jcl-vsam-idz-cics
0d6b055e-0eaf-58c7-9f00-810b23b92711,A.Team,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-08-28 15:53:10.529995+00,2026-09-21 08:11:05.546791+00,remotive,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266
26b6cf09-1da1-5f9c-8833-9ab6545fa755,ABB,,[],,,,"[""technology_employer""]",unknown,,,,,,,true,0.75,2026-08-29 03:30:45.524834+00,2026-08-29 04:04:29.005808+00,himalayas,https://himalayas.app/companies/global-abb/jobs/data-center-coe-sr-field-service-technician
5bbed20b-d05d-500b-8d20-c1f7e50570ac,ADDENDUM,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-08-29 03:33:45.553462+00,2026-08-29 04:07:29.044348+00,himalayas,https://himalayas.app/companies/addendum/jobs/senior-managing-consultant-eu-based
d10a8c1a-78e4-5d10-992e-265bc6364ee8,AE Perkins,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-09-21 08:03:19.156374+00,2026-09-21 08:03:19.156374+00,himalayas,https://himalayas.app/companies/ae-perkins/jobs/payroll-tax-specialist
11f1106f-4232-5d26-b4af-d4e850841208,AECOM,,[],,,,"[""technology_employer""]",hires,,,,,,,true,0.75,2026-09-21 08:06:49.171317+00,2026-09-21 08:06:49.171317+00,himalayas,https://himalayas.app/companies/aecom/jobs/senior-lead-substation-engineer-transmission-and-distribution
