job_id,company_id,title,role_family,seniority,employment_type,workplace_type,location_text,candidate_location,eligibility,eligibility_confidence,eligibility_evidence,eligibility_explanation,eligibility_rule_version,salary_text,salary_min,salary_max,salary_currency,salary_period,skills_json,min_years_experience,max_years_experience,early_career_fit,source_id,source_url,apply_url,posted_at,expires_at,first_seen_at,last_seen_at,status,missing_runs,fingerprint,attribution
6cb5ec39-aeda-5158-a740-57fd25ea6e33,39bd377b-ed6a-5fd6-b1ae-592e4a1689c4,Trimmer,software_engineering,unspecified,,remote,"Tiverton,","Tiverton,",unknown,0.35,"Tiverton,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""customer support"", ""dev"", ""digital nomad"", ""education"", ""exec"", ""full time"", ""marketing"", ""medical"", ""non tech"", ""recruiter""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-trimmer-canopy-growth-corporation-1136997,https://remoteok.com/remote-jobs/remote-trimmer-canopy-growth-corporation-1136997,2026-08-20 07:02:31+05:45,,2026-08-28 21:38:15.326841+05:45,2026-08-28 21:38:35.840926+05:45,active,0,ad8c5bbf-3763-5af7-af23-74887f3223c2,Remote OK — link to the original Remote OK job page.
e0153d3c-192b-577b-a883-f061c23a73f0,563f627b-65bf-5a7b-a515-445b1b9ed22e,Consultant Implementation Engineer,software_engineering,unspecified,,remote,Remote,Remote,likely,0.65,anywhere,The posting is remote but does not state a country restriction that excludes Nepal.,eligibility-v1,,,,,,"[""accounting"", ""consulting"", ""engineer"", ""golang"", ""legal"", ""technical""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,https://remoteok.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987,2026-08-20 05:45:15+05:45,,2026-08-28 21:38:15.326841+05:45,2026-08-28 21:38:35.840926+05:45,active,0,034fe19f-28cc-584e-9f9a-667ae1e00839,Remote OK — link to the original Remote OK job page.
fae34363-fc45-558c-805b-91325c4401be,9d1677a9-570c-596c-8723-60e98b9328e2,Baker Day,ai_data,unspecified,,remote,"Edmonton,","Edmonton,",unknown,0.35,"Edmonton,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""customer support"", ""dev"", ""digital nomad"", ""education"", ""exec"", ""finance"", ""full time"", ""marketing"", ""medical"", ""non tech"", ""recruiter"", ""saas"", ""sales"", ""testing""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-baker-day-loblaw-companies-limited-1136999,https://remoteok.com/remote-jobs/remote-baker-day-loblaw-companies-limited-1136999,2026-08-20 02:31:08+05:45,,2026-08-28 21:38:15.326841+05:45,2026-08-28 21:38:35.840926+05:45,active,0,e4db3bbf-309f-5126-8c12-f984fd72c0d6,Remote OK — link to the original Remote OK job page.
065e3adb-40ab-587d-b2c5-266c27d98479,a9532837-25e6-5339-a8bb-443d4f1cc9f5,Estimator,software_engineering,lead,,remote,"Dronfield,","Dronfield,",unknown,0.35,"Dronfield,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""design"", ""dev"", ""digital nomad"", ""excel"", ""exec"", ""finance"", ""full time"", ""microsoft"", ""scheme"", ""travel""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-estimator-linsco-ltd-1137060,https://remoteok.com/remote-jobs/remote-estimator-linsco-ltd-1137060,2026-08-21 21:06:35+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.839926+05:45,active,0,9b5d7520-f84e-5d18-948f-d2fa26535670,Remote OK — link to the original Remote OK job page.
46f535e0-8418-5616-af1e-82892b97fcff,1c616734-ec8d-5246-a2e9-785f7450cfa2,Estimator Brisbane,software_engineering,lead,,remote,"West End,","West End,",unknown,0.35,"West End,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""customer support"", ""dev"", ""digital nomad"", ""education"", ""exec"", ""marketing"", ""medical"", ""recruiter""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-estimator-brisbane-mcnab-1137047,https://remoteok.com/remote-jobs/remote-estimator-brisbane-mcnab-1137047,2026-08-21 13:14:30+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.839926+05:45,active,0,8759458f-f93d-55cf-aee4-b97ab6212067,Remote OK — link to the original Remote OK job page.
4ad2003a-78de-5cbf-871d-835f335fb3c8,c76159de-34fc-5ea0-b65d-eb9bb94655a8,Post Office Manager,ai_data,entry,,remote,"Kitchener,","Kitchener,",unknown,0.35,"Kitchener,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""customer support"", ""dev"", ""digital nomad"", ""exec"", ""medical""]",,,true,remoteok,https://remoteok.com/remote-jobs/remote-post-office-manager-shoppers-drug-mart-1137063,https://remoteok.com/remote-jobs/remote-post-office-manager-shoppers-drug-mart-1137063,2026-08-22 02:26:18+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.839926+05:45,active,0,fe9badbb-de9f-539a-8542-51bd33ae6d74,Remote OK — link to the original Remote OK job page.
5669e4e4-3239-59ab-88c0-9a373cdcaa74,c76159de-34fc-5ea0-b65d-eb9bb94655a8,Beauty merchandiser,ai_data,entry,,remote,"Kingston,","Kingston,",unknown,0.35,"Kingston,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""customer support"", ""dev"", ""digital nomad"", ""excel"", ""exec"", ""full time"", ""medical"", ""microsoft"", ""non tech"", ""ops"", ""recruiter"", ""sales""]",,,true,remoteok,https://remoteok.com/remote-jobs/remote-beauty-merchandiser-shoppers-drug-mart-1137055,https://remoteok.com/remote-jobs/remote-beauty-merchandiser-shoppers-drug-mart-1137055,2026-08-21 02:27:30+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.839926+05:45,active,0,dbcc85dd-ced6-5aca-9995-ee9e10ea58a5,Remote OK — link to the original Remote OK job page.
5a29404c-796f-5a25-a4e7-dac51b3aae30,102f0387-8159-5aed-87f5-d27581e2f809,Project Systems Specialist,it_support,unspecified,,remote,"George Town,","George Town,",unknown,0.35,"George Town,",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""c"", ""c sharp"", ""c#"", ""css"", ""customer support"", ""design"", ""digital nomad"", ""education"", ""engineer"", ""exec"", ""html"", ""javascript"", ""marketing"", ""medical"", ""microsoft"", ""node"", ""ops"", ""quality assurance"", ""sql"", ""sys admin"", ""technical"", ""testing"", ""travel""]",4.0,,false,remoteok,https://remoteok.com/remote-jobs/remote-project-systems-specialist-dart-1137069,https://remoteok.com/remote-jobs/remote-project-systems-specialist-dart-1137069,2026-08-21 20:38:06+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.839926+05:45,active,0,678daed1-8d64-503f-abd7-366f13e0832c,Remote OK — link to the original Remote OK job page.
09fd74a1-086c-5191-ac01-f1b6405fe462,310af10b-9ff0-5d70-ba62-2e18cc66dbca,Senior Governance Risk and Compliance Analyst,security,lead,,remote,"Orem, UT","Orem, UT",unknown,0.35,"Orem, UT",The posting does not provide enough geographic evidence to determine Nepal eligibility.,eligibility-v1,,,,,,"[""analyst"", ""cloud"", ""design"", ""dev"", ""digital nomad"", ""education"", ""engineer"", ""exec"", ""infosec"", ""marketing"", ""ops"", ""saas"", ""senior"", ""technical""]",6.0,,false,remoteok,https://remoteok.com/remote-jobs/remote-senior-governance-risk-and-compliance-analyst-rainfocus-1137061,https://remoteok.com/remote-jobs/remote-senior-governance-risk-and-compliance-analyst-rainfocus-1137061,2026-08-22 05:45:05+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.838926+05:45,active,0,ed061c93-438e-583c-8691-88a3b8bb4d68,Remote OK — link to the original Remote OK job page.
4de654e7-3a74-5839-85f1-1b54332df5a6,9c7d6feb-7b0e-5472-b403-74e70c96a576,DESARROLLADOR FULL STACK,devops_cloud,unspecified,,remote,Worldwide,Worldwide,eligible,0.95,worldwide,The posting explicitly names Nepal or a geography that includes Nepal.,eligibility-v1,,,,,,"[""angular"", ""backend"", ""c"", ""cloud"", ""dev"", ""devops"", ""digital nomad"", ""flutter"", ""front end"", ""full stack"", ""gcp"", ""git"", ""go"", ""golang"", ""mobile"", ""nosql"", ""python"", ""quality assurance"", ""sql"", ""testing"", ""web dev""]",,,false,remoteok,https://remoteok.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,https://remoteok.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062,2026-08-22 05:45:12+05:45,,2026-08-28 21:38:15.325842+05:45,2026-08-28 21:38:35.838926+05:45,active,0,0bd6e332-8a05-594c-8662-14cdd3c8d26f,Remote OK — link to the original Remote OK job page.
